,shortName,sector,industry,market,price,priceCurrency,sharesOutstanding,reportCurrency,fxRate,lastFiscalYearEnd,mostRecentQuarter,lastDividend,lastBuyback,totalAssets,currentAssets,currentLiabilities,totalAssets_-1,currentAssets_-1,currentLiabilities_-1,cashAndCashEquivalents,otherShortTermInvestments,cashAndCashEquivalents_-1,otherShortTermInvestments_-1,currentDebtAndCapitalLease,currentCapitalLease,currentDebtAndCapitalLease_-1,currentCapitalLease_-1,longTermDebtAndCapitalLease,longTermCapitalLease,longTermDebtAndCapitalLease_-1,longTermCapitalLease_-1,totalEquityAndMinorityInterest,commonStockEquity,totalEquityAndMinorityInterest_-1,commonStockEquity_-1,investmentProperties,longTermEquityInvestment,longTermFinancialAssets,investmentProperties_-1,longTermEquityInvestment_-1,longTermFinancialAssets_-1,netPPE,totalRevenue,costOfRevenue,sellingGeneralAndAdministration,netPPE_-1,totalRevenue_-1,costOfRevenue_-1,sellingGeneralAndAdministration_-1,netIncomeCommonStockholders,interestPaidCfo,interestPaidCff,netIncomeCommonStockholders_-1,interestPaidCfo_-1,interestPaidCff_-1,cfo,cfi,cff,endCashPosition,cfo_-1,cfi_-1,cff_-1,endCashPosition_-1
1528.HK,RS MACALLINE,Real Estate,Real Estate Services,hk_market,3.6600000858306885,HKD,741286016,CNY,1.153969367345174,1970-01-01 00:00:01.640908800,1664496000.0,0.0,0.0,133931771149.66,14837641761.93,29950008152.04,135187542000.02,15652890125.36,32131538615.37,6134638539.93,966286406.87,6903715249.53,1018692853.25,11599321251.08,1097238502.0,14388010247.61,1192502407.79,30155274249.77,3850980739.35,30118280422.53,4151154238.14,57611126728.48,54237617285.05,57531218145.11,53981799417.41,96164000000.0,3922007012.7,3756660108.32,95575000000.0,3929090179.77,4540745484.77,7990011386.12,15512792215.84,5946476374.29,2850157938.42,8368675070.22,14236460098.98,5480170024.86,2371763316.22,2047401906.98,0.0,0.0,1730581791.56,0.0,0.0,5380669282.08,-126813546.19,-5053632975.99,6097986723.2,4159732441.59,-4851801126.36,-181898109.56,5901061909.81
1529.HK,YUES INTL HLDG,Industrials,Integrated Freight & Logistics,hk_market,0.22300000488758087,HKD,964400000,CNY,1.153969367345174,1970-01-01 00:00:01.640908800,1656547200.0,0.0,0.0,169288000.0,153762000.0,29563000.0,184546000.0,166586000.0,47091000.0,66958000.0,40000000.0,68162000.0,40000000.0,2944000.0,2944000.0,3286000.0,3286000.0,4996000.0,4996000.0,6337000.0,6337000.0,134145000.0,134145000.0,130629000.0,130629000.0,0.0,0.0,6000000.0,0.0,0.0,6000000.0,8851000.0,211779000.0,192751000.0,6971000.0,11388000.0,185198000.0,140328000.0,10508000.0,-17102000.0,0.0,-1963000.0,2463000.0,0.0,-3438000.0,6457000.0,-5539000.0,-7487000.0,68162000.0,16705000.0,-2674000.0,-9432000.0,74965000.0
1530.HK,3SBIO,Healthcare,Biotechnology,hk_market,8.369999885559082,HKD,2438919936,CNY,1.153969367345174,1970-01-01 00:00:01.640908800,1656547200.0,0.0,0.16929502026916884,20521284000.0,8854753000.0,1872907000.0,19212575000.0,7790698000.0,1419989000.0,2888944000.0,3343458000.0,2803262000.0,1900023000.0,261642000.0,11451000.0,160753000.0,10564000.0,3581289000.0,30081000.0,2468126000.0,32380000.0,14421984000.0,12003199000.0,14657797000.0,12227450000.0,0.0,636313000.0,629351000.0,0.0,700590000.0,620677000.0,4005619000.0,6382009000.0,1106286000.0,2695505000.0,4029347000.0,5587636000.0,1062911000.0,2472493000.0,1651247000.0,0.0,-6262000.0,835791000.0,0.0,-196078000.0,1578345000.0,-1286516000.0,-481119000.0,2868077000.0,1344561000.0,-1869481000.0,1550686000.0,3090835000.0
1532.HK,CHINA PARTYTIME,Consumer Cyclical,Apparel Manufacturing,hk_market,0.1379999965429306,HKD,1262269952,CNY,1.153969367345174,1970-01-01 00:00:01.640908800,1656547200.0,0.0,0.0,553608000.0,258080000.0,174963000.0,487152000.0,170077000.0,116451000.0,89908000.0,7327000.0,99661000.0,7135000.0,123975000.0,5896000.0,95066000.0,5739000.0,6330000.0,6330000.0,6161000.0,6161000.0,372315000.0,368756000.0,364540000.0,361175000.0,79151000.0,1784000.0,0.0,78131000.0,1810000.0,0.0,164661000.0,242212000.0,176226000.0,91774000.0,184261000.0,255252000.0,190968000.0,81675000.0,-17722000.0,-4541000.0,0.0,-68437000.0,-6704000.0,0.0,21792000.0,-60000.0,28994000.0,99661000.0,-18884000.0,6966000.0,-18114000.0,48908000.0
1536.HK,YUK WING GP,Industrials,Specialty Industrial Machinery,hk_market,0.16899999976158142,HKD,380000000,HKD,1.0,1970-01-01 00:00:01.648684800,1664496000.0,0.0,0.0,258034000.0,233875000.0,67142000.0,232796000.0,207294000.0,35450000.0,78572000.0,20209000.0,64649000.0,25034000.0,35912000.0,2042000.0,22001000.0,2001000.0,9884000.0,9884000.0,10915000.0,10915000.0,180848000.0,146182000.0,186305000.0,149330000.0,0.0,0.0,0.0,0.0,0.0,0.0,16356000.0,141748000.0,102147000.0,43244000.0,18298000.0,106693000.0,67718000.0,42861000.0,-454000.0,0.0,-873000.0,-4412000.0,0.0,-863000.0,1974000.0,-23673000.0,-2681000.0,64649000.0,-14921000.0,-903000.0,-2488000.0,87437000.0
1538.HK,ZHONG AO HOME,Real Estate,Real Estate Services,hk_market,0.4350000023841858,HKD,854550016,CNY,1.153969367345174,1970-01-01 00:00:01.640908800,1656547200.0,0.024962845474921856,0.0,1991358000.0,1293729000.0,993531000.0,2187483000.0,1412296000.0,1106323000.0,411301000.0,5676000.0,436464000.0,14076000.0,78818000.0,10528000.0,51041000.0,9944000.0,3412000.0,3412000.0,17736000.0,2877000.0,968547000.0,900505000.0,983105000.0,899255000.0,178556000.0,11628000.0,0.0,178012000.0,11436000.0,0.0,152235000.0,1873533000.0,1440794000.0,239677000.0,164195000.0,1752317000.0,1310676000.0,250981000.0,106282000.0,0.0,-3569000.0,131509000.0,0.0,-2936000.0,33832000.0,-42243000.0,-51155000.0,436464000.0,217258000.0,-80725000.0,-102262000.0,495773000.0
1539.HK,UNITY GP HLDGS,Industrials,Electrical Equipment & Parts,hk_market,0.11400000005960464,HKD,2385669888,HKD,1.0,1970-01-01 00:00:01.648684800,1664496000.0,0.0,0.0,355733000.0,191867000.0,210089000.0,417811000.0,253568000.0,208961000.0,18822000.0,0.0,26311000.0,0.0,31220000.0,2421000.0,35403000.0,2404000.0,56777000.0,1780000.0,58097000.0,3100000.0,81996000.0,94512000.0,145641000.0,157960000.0,0.0,95662000.0,0.0,0.0,94935000.0,0.0,5753000.0,80434000.0,47871000.0,31738000.0,6979000.0,53784000.0,27408000.0,28614000.0,-382145000.0,0.0,-16135000.0,-279797000.0,0.0,-8247000.0,-13993000.0,-546000.0,31732000.0,26311000.0,1544000.0,15443000.0,-19365000.0,8204000.0
1540.HK,LEFTFIELD PRINT,Industrials,Specialty Business Services,hk_market,0.4950000047683716,HKD,498672000,HKD,1.0,1970-01-01 00:00:01.640908800,1656547200.0,0.050000802130458495,-0.0,370814000.0,222230000.0,84711000.0,360317000.0,290772000.0,64764000.0,29790000.0,0.0,169884000.0,0.0,8241000.0,8241000.0,10535000.0,10535000.0,9643000.0,9643000.0,15024000.0,15024000.0,268853000.0,268853000.0,273120000.0,273120000.0,0.0,0.0,12598000.0,0.0,0.0,0.0,70713000.0,387267000.0,309745000.0,55390000.0,55714000.0,329947000.0,281402000.0,52243000.0,18351000.0,0.0,-1431000.0,28058000.0,0.0,-1499000.0,44926000.0,-2404000.0,-37987000.0,169884000.0,31936000.0,1010000.0,-40732000.0,174752000.0
1542.HK,TAIZHOU WATER,Utilities,Utilities—Regulated Water,hk_market,2.619999885559082,HKD,50000000,CNY,1.153969367345174,1970-01-01 00:00:01.640908800,1656547200.0,0.68066,0.0,5236486000.0,363909000.0,979455000.0,4855907000.0,337095000.0,967668000.0,232673000.0,0.0,190699000.0,0.0,166625000.0,18829000.0,108969000.0,19729000.0,2957170000.0,0.0,2652743000.0,0.0,1147746000.0,920558000.0,1130368000.0,923174000.0,0.0,528975000.0,0.0,0.0,503699000.0,0.0,4320813000.0,520279000.0,293678000.0,55913000.0,3992650000.0,483796000.0,279608000.0,50263000.0,120310000.0,0.0,-104190000.0,103069000.0,0.0,-75795000.0,245434000.0,-934487000.0,649404000.0,190699000.0,154499000.0,-701469000.0,512991000.0,230369000.0
1543.HK,JOIN-SHARE,Financial Services,Credit Services,hk_market,1.75,HKD,554363008,CNY,1.153969367345174,1970-01-01 00:00:01.640908800,1656547200.0,0.19573456099004355,0.0,3473261000.0,0.0,0.0,3445065000.0,0.0,0.0,704159000.0,0.0,891395000.0,0.0,0.0,0.0,0.0,0.0,409004000.0,0.0,359171000.0,0.0,2297439000.0,2048610000.0,2368786000.0,2101695000.0,0.0,34068000.0,0.0,0.0,37889000.0,0.0,22594000.0,318703000.0,0.0,0.0,20866000.0,306687000.0,0.0,0.0,81987000.0,0.0,-8151000.0,106577000.0,0.0,-9702000.0,-156174000.0,220891000.0,72679000.0,782441000.0,-22634000.0,87063000.0,-154987000.0,649365000.0
1545.HK,DESIGN CAPITAL,Consumer Cyclical,Specialty Retail,hk_market,0.08500000089406967,HKD,2000000000,SGD,5.913309574127197,1970-01-01 00:00:01.640908800,1656547200.0,0.0055775,0.0,102279000.0,85110000.0,33880000.0,100210000.0,82987000.0,31252000.0,28479000.0,0.0,40662000.0,0.0,2696000.0,2682000.0,2427000.0,2406000.0,13690000.0,13661000.0,13539000.0,13505000.0,54147000.0,51003000.0,54930000.0,52075000.0,0.0,0.0,0.0,0.0,0.0,0.0,16421000.0,89180000.0,62107000.0,20999000.0,16502000.0,114284000.0,81749000.0,23511000.0,4804000.0,0.0,-817000.0,7414000.0,0.0,-733000.0,5112000.0,10386000.0,-14231000.0,19828000.0,22778000.0,-26571000.0,-6870000.0,18293000.0
1546.HK,THELLOY DEV,Industrials,Engineering & Construction,hk_market,0.17000000178813934,HKD,800000000,HKD,1.0,1970-01-01 00:00:01.648684800,1664496000.0,0.0,0.0,311149000.0,129704000.0,156137000.0,272345000.0,94537000.0,118949000.0,13138000.0,0.0,56557000.0,0.0,57441000.0,3441000.0,18414000.0,3414000.0,3732000.0,3732000.0,4657000.0,4657000.0,151280000.0,151280000.0,148739000.0,148739000.0,0.0,83908000.0,0.0,0.0,81896000.0,0.0,96575000.0,204342000.0,164502000.0,34495000.0,94950000.0,151829000.0,132322000.0,35425000.0,4264000.0,0.0,-499000.0,21123000.0,0.0,-304000.0,-2897000.0,-13048000.0,-18800000.0,56557000.0,81620000.0,-73199000.0,28009000.0,91302000.0
1547.HK,IBI GROUP HLDGS,Industrials,Engineering & Construction,hk_market,0.27000001072883606,HKD,800000000,HKD,1.0,1970-01-01 00:00:01.648684800,1664496000.0,0.05,0.0,354710000.0,223988000.0,141032000.0,317699000.0,296411000.0,148269000.0,63642000.0,0.0,141647000.0,0.0,3845000.0,2887000.0,2791000.0,2791000.0,56152000.0,233000.0,1759000.0,1759000.0,157526000.0,158591000.0,167671000.0,168534000.0,114026000.0,0.0,12968000.0,0.0,0.0,16062000.0,3728000.0,405878000.0,337926000.0,34122000.0,5226000.0,556702000.0,477268000.0,29223000.0,27010000.0,0.0,0.0,54390000.0,0.0,0.0,98862000.0,-1598000.0,-42759000.0,141647000.0,-99863000.0,1841000.0,-10509000.0,87142000.0
1548.HK,GENSCRIPT BIO,Healthcare,Biotechnology,hk_market,23.799999237060547,HKD,2115209984,USD,7.849563280741374,1970-01-01 00:00:01.640908800,1656547200.0,0.0,-0.0,2144294000.0,1497810000.0,512831000.0,2232770000.0,1637962000.0,464367000.0,782246000.0,473417000.0,1180971000.0,222233000.0,14085000.0,7388000.0,8031000.0,7510000.0,215149000.0,25638000.0,148419000.0,27349000.0,888360000.0,757347000.0,1092955000.0,879751000.0,5751000.0,3318000.0,10932000.0,6882000.0,3318000.0,10444000.0,568773000.0,511062000.0,207578000.0,302477000.0,492438000.0,390846000.0,134953000.0,197682000.0,-347865000.0,-1576000.0,0.0,-204945000.0,-1330000.0,0.0,-136790000.0,-212548000.0,902141000.0,1180971000.0,-151093000.0,-100166000.0,624203000.0,629058000.0
1549.HK,EVER HARVEST GP,Industrials,Marine Shipping,hk_market,0.18799999356269836,HKD,1550000000,HKD,1.0,1970-01-01 00:00:01.640908800,1656547200.0,0.0,0.0,417076000.0,246787000.0,198369000.0,396514000.0,221498000.0,198026000.0,118912000.0,7509000.0,123821000.0,0.0,72159000.0,1258000.0,71205000.0,1543000.0,563000.0,563000.0,1171000.0,1171000.0,218144000.0,218144000.0,197317000.0,197317000.0,62651000.0,0.0,0.0,63946000.0,0.0,0.0,107638000.0,488964000.0,407231000.0,73912000.0,111070000.0,365715000.0,303362000.0,62055000.0,22783000.0,-1076000.0,0.0,26225000.0,-1181000.0,0.0,23751000.0,-54513000.0,53211000.0,123821000.0,46932000.0,-20956000.0,4332000.0,102641000.0
